Brand,Model,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,Car_Age
AUDI,A1,990.0,Automatic,Petrol,99000.0,Gampaha,0,USED,1,1,1,1,100.0,9
AUDI,A1,1000.0,Automatic,Petrol,88000.0,Colombo,0,USED,1,1,1,1,97.0,8
AUDI,A1,1000.0,Automatic,Petrol,77000.0,Dehiwala-Mount-Lavinia,0,USED,1,1,1,1,98.5,7
AUDI,A1,1000.0,Automatic,Petrol,88000.0,Negombo,0,USED,1,1,1,1,107.0,7
AUDI,A1,1000.0,Automatic,Petrol,88000.0,Colombo,0,USED,1,1,1,1,99.5,7
AUDI,A1,1500.0,Automatic,Petrol,77000.0,Colombo,0,USED,1,1,1,1,91.375,6
AUDI,A1,1000.0,Automatic,Petrol,88000.0,Matara,0,USED,1,1,1,1,104.0,7
AUDI,A1 RS,1000.0,Automatic,Petrol,99000.0,Colombo,0,USED,1,1,1,1,105.0,9
AUDI,A3,1000.0,Automatic,Petrol,77000.0,Nugegoda,0,USED,1,1,1,1,139.0,7
AUDI,A3,1750.0,Automatic,Petrol,77000.0,Gampaha,0,USED,1,1,1,1,139.0,7
AUDI,A3,1000.0,Automatic,Petrol,77000.0,Anuradapura,0,USED,1,1,1,1,139.0,7
AUDI,A3,1000.0,Automatic,Petrol,77000.0,Kandy,0,USED,1,1,1,1,139.0,7
AUDI,A3 S LINE,1000.0,Automatic,Petrol,77000.0,Colombo,0,USED,1,1,1,1,178.0,7
AUDI,A3 S LINE,1000.0,Automatic,Petrol,77000.0,Colombo,0,USED,1,1,1,1,178.0,6
AUDI,A3 S-LINE,999.0,Automatic,Petrol,77000.0,Ambalangoda,0,USED,1,1,1,1,145.0,6
AUDI,A3 SPORTBACK,1000.0,Automatic,Petrol,88000.0,Battaramulla,0,USED,1,1,Not_Available,1,125.0,8
AUDI,A3 SPORTBACK,1000.0,Automatic,Petrol,88000.0,Colombo,0,USED,1,1,1,1,142.5,8
AUDI,A3 SPORTBACK,1000.0,Automatic,Petrol,88000.0,Battaramulla,0,USED,1,1,1,1,165.0,8
AUDI,A3 TFSI,1000.0,Automatic,Petrol,77000.0,Colombo,0,USED,1,1,1,1,149.5,7
AUDI,A3 TFSI,1899.0,Automatic,Petrol,110000.0,Nittambuwa,0,USED,1,1,1,1,159.0,9
AUDI,A3 TFSI,1500.0,Automatic,Petrol,110000.0,Nittambuwa,0,USED,1,1,1,1,159.0,9
AUDI,A4,1900.0,Manual,Diesel,264000.0,Piliyandala,0,USED,1,1,1,1,38.8,24
AUDI,A4,1800.0,Automatic,Petrol,165000.0,Kotte,0,USED,1,1,1,1,118.0,15
AUDI,A4,2000.0,Automatic,Petrol,154000.0,Colombo,Ongoing Lease,USED,1,1,1,1,125.0,14
AUDI,A4,2000.0,Automatic,Diesel,143000.0,Kandana,0,USED,1,1,1,1,169.0,13
AUDI,A4,1900.0,Manual,Diesel,286000.0,Anuradapura,0,USED,1,1,1,1,31.5,26
AUDI,A4,1800.0,Automatic,Petrol,242000.0,Moratuwa,0,USED,1,1,1,1,53.6,22
AUDI,A4,2000.0,Automatic,Diesel,154000.0,Colombo,0,USED,1,1,Not_Available,1,108.0,14
AUDI,A4,1800.0,Automatic,Petrol,143000.0,Wattala,0,USED,1,1,1,1,139.0,13
AUDI,A4,2000.0,Automatic,Diesel,154000.0,Kegalle,0,USED,1,1,1,1,116.5,13
AUDI,A4,1800.0,Automatic,Petrol,165000.0,Gampaha,0,USED,1,1,1,1,100.0,14
AUDI,A4,1800.0,Automatic,Petrol,143000.0,Colombo,0,USED,1,1,1,Not_Available,145.0,12
AUDI,A4,1800.0,Automatic,Petrol,143000.0,Homagama,0,USED,1,1,1,1,155.0,12
AUDI,A4 1.9 TDI,1900.0,Manual,Diesel,264000.0,Kotte,0,USED,1,1,1,1,5.0,24
AUDI,A4 B8,1800.0,Automatic,Petrol,154000.0,Weligama,0,USED,1,1,1,1,112.0,14
